时间,时代,表现=>{原因}
远古,尧舜禹时期,实行禅让制;
-2070,夏朝,实行王位世袭制;
-1675,商朝,汉字形成完整体系;出现织机;
-1046,周朝,实行分封制;实行宗法制;实行井田制;鼓励商业发展;斜纹提花织物出现;商周时期青铜铸造进入繁荣时期;
-770,春秋战国,"分封制,宗法制遭到破坏;农商并重=>商鞅变法=>[确立封建土地私有制,重农抑商];铁犁牛耕开始使用并逐渐推广;井田制被破坏;自给自足的自然经济逐渐形成;百家争鸣(道儒墨法);司南发明;现实主义诗歌总集《诗经》;浪漫主义出现=>楚辞《离骚》;"
-6c,雅典,初期梭伦改革=>为雅典民主政治奠定基础;末期克里斯提尼改革=>奴隶制民主政治确立;
-509,罗马共和国,罗马共和国建立;公民法出现并逐渐完善;
-5c,雅典,"伯里克利改革=>雅典民主的“黄金时代”;智者学派出现(西方人文主义萌芽)=>普罗泰戈拉“人是万物的尺度”,苏格拉底“有思想力的人是万物的尺度”“美德即知识”;"
-5c,罗马共和国,中期《十二铜表法》制定;
-221,秦朝,"君主专制中央集权制度建立;郡县制全面推行;三公九卿制建立(丞相,御史大夫,太尉);统一的中央集权封建王朝建立;"
-203,汉朝,郡国并行制=>推恩令;察举制;铁犁牛耕成为传统农业主要耕作方式;高炉炼铁出现;炒钢出现;杜诗发明水力鼓风冶铁(水排);冶铁赵过推广耦犁;出现犁垄;出现代田法;出现青瓷;出现太学;罢黜百家独尊儒术=>儒学繁荣=>奠定了正统地位;楚辞盛行=>赋;
-27,罗马帝国,罗马帝国成立;万民法逐渐出现;
105,汉朝,东汉蔡伦改进造纸术;
3c,罗马帝国,万民法适用于古罗马统治范围内一切自由民;
220,魏晋南北朝,"选官采用九品中正制;逐步形成三省体制;耕耙耱出现;实行均田制;经改制的翻车出现;白瓷出现;使用灌钢法;汉字书法进入自觉阶段;草书盛行;传统儒学受到挑战=>儒学吸收佛教,道教精神=>成为中华民族共同的主流思想;"
5c,,西欧进入封建时期=>欧洲文化发展受封建神学的钳制;
6c,罗马帝国,查士丁尼《民法大全》=>罗马法体系最终形成
581,隋朝,科举制形成;三教合一;
618,唐朝,"地方设置节度使=>潘镇割据局面形成;三省六部确立并完善;出现曲辕犁;创制筒车;南青北白形成;丝织技术高(轻盈精湛,吸收波斯);雕版印刷;火药开始用于军事;诗歌繁荣;出现词;"
907,宋朝,"设立中书门下;分割宰相三权(参知政事,枢密使,三司使);市坊界限被打破,草市普遍,经营时间被打破;交易活动不再受官府直接监管;世界上最早的纸币出现;高转筒车出现;毕N胶泥活字印刷;指南针用于航海;火药广泛应用于战争;出现五大名窑;丝织吸收花鸟画中写实风格;陆九渊心学;程朱理学形成=>极大地深化了传统儒学;词成为主流文学和标志;"
1271,元朝,地方实行行省制度;中央设立中书省替代三省;元曲繁荣;青花瓷出现;
13c,,英国议会制度开始萌芽;
14c,,"商品经济发展=>意大利出现资本主义萌芽;文艺复兴(薄伽丘《十日谈》,但丁《神曲》,彼特拉克《歌集》);"
1368,明朝,"明太祖废除丞相制度=>设立殿阁大学士;明成祖设立内阁;明太祖废行中书省设立三司;明清时期地域性商帮出现(徽晋);实行海禁政策;风力水车出现;丝织业进入鼎盛时期;彩瓷;江西景德镇成为全国制瓷中心;中后期江南出现资本主义萌芽;王阳明发展心学;儒家思想活跃(李贽离经叛道,黄宗羲抨击君主专制,顾炎武经世致用,王夫之唯物思想);早期启蒙思潮滋长;明清小说,歌剧出现;"
1487,葡萄牙,"迪亚士到达好望角,非洲最南端;"
1492,"意大利,西班牙",哥伦布到达美洲;
1497,葡萄牙,达・伽马到达印度;
15c,,黑奴贸易给非洲带来巨大的损失和灾难;价格革命;
16c,,欧洲其他国家开始传播文艺复兴;商业革命;
1517,,德意志马丁・路德《九十五条论纲》=>宗教改革运动;
1519,"葡萄牙,西班牙",麦哲伦环球航行;
1588,"英国,西班牙",英国打败西班牙无敌舰队;
17c,"英国,荷兰,意大利",英国《航海条例》;英荷战争;荷兰成为海上马车夫;英国出现早期启蒙思想;意大利伽利略发现自由落体定律=>以实验事实为根据且并具有严密逻辑体系的近代科学建立
1636,清朝,雍正设置军机处=>君主专制中央集权制度发展达到顶峰;珐琅彩闻名;清初闭关锁国;小说出现;道光年间京剧形成;同治光绪京剧走向成熟;
1687,清朝,英国牛顿《自然哲学的数学原理》=>创立牛顿经典力学体系;
1688,清朝,英国光荣革命;
1689,清朝,英国《权利法案》=>英国君主立宪制度建立;
18c,清朝,"进入“蒸汽时代”;法国启蒙运动进入高潮(伏尔泰“天赋人权”《哲学通讯》《路易十四时代》,孟德斯鸠“三权分立”《论法的精神》,卢梭“人民主权”“天赋人权”《社会契约论》,康德经典总结《纯粹理性批判》);"
1721,清朝,英国责任内阁制逐渐形成(沃波尔);英法战争=>英国确立世界霸权=>英国成为日不落帝国;
1765,清朝,英国哈格里夫斯发明珍妮机=>第一次工业革命发生;
1785,清朝,英国瓦特改良的蒸汽机在工厂正式投入使用;
1787,清朝,美国《1787宪法》=>[美国建立联邦制民主共和政体;体现三权分立原则];
19c,清朝,"步入“电气时代”;18c末19c初新古典主义美术(理性,《马拉之死》《拿破仑加冕》《泉》);19c初浪漫主义美术(寻求精神寄托,鲜明色彩,奔放手法,《自由引导人民》);19c中现实主义美术(米勒《播种者》《拾荒者》,列宾《伏尔加河上的纤夫》);19c末20c初印象画派(光学,微妙的色彩变化,莫奈《日出・印象》,梵高《向日葵》);18c末-19c30s浪漫主义文学(雨果《巴黎圣母院》,雪莱《解放了的普罗米修斯》,海涅《德国，一个冬天的童话》);19c浪漫主义音乐(贝多芬,约翰・斯特劳斯《蓝色多瑙河》,威尔第《茶花女》,比才《卡门》,柴可夫斯基《天鹅湖》);英国古典经济学“自由放任”;"
19c30s,清朝,"欧洲北美蒸汽机被广泛采用;真正意义上的社会化大生产逐渐形成;20c早期现实主义文学(巴尔扎克《人间喜剧》,狄更斯《大卫・科波菲尔》,普希金《叶普盖尼・奥涅金》,列夫・托尔斯泰《安娜・卡列宁娜》,易卜生《玩偶之家》);"
1831,清朝,英国法拉第发现电磁感应现象;
1832,清朝,英国议会改革;
1833,清朝,中国第一份中文报刊《东西洋考每月统计传》;
1840,清朝,"近代反侵略求独立,反封建求民主历史开始;英国完成工业革命;中英鸦片战争(广东,厦门,天津,香港岛);一些官僚,地主,商人开始投资创办近代企业;洋纱洋布出现;自然经济逐渐开始解体;林则徐“开眼看世界”;京剧出现;"
1842,清朝,中英《南京条约》签订=>中国开始沦为半殖民地半封建社会;魏源《海国图志》=>师夷长技以制夷/自强;
1848,清朝,德国马克思发表《共产党宣言》=>科学社会主义理论诞生;
1851,"清朝,太平天国",广西桂平县金田村金田起义=>太平天国运动开始;
1853,"清朝,太平天国",太平天国定都天京;西征北伐;颁布《天朝田亩制度》;
1856,"清朝,太平天国","英法联军第二次鸦片战争(广州,天津);"
1858,"清朝,太平天国",中英法《天津条约》;
1859,"清朝,太平天国",洪仁\《资政新篇》;达尔文发表《物种起源》;
19c60s,"清朝,太平天国",中国民族资本主义诞生;中后期以欧美资本主义国家为主导的世界市场基本形成;
1860,"清朝,太平天国","清英法《北京条约》;英国成为世界工厂;洋务运动开始=>[提出“中体西用”,师夷长技以自强/求富,迈出了中国近代化历程的第一步];近代军事工业创办;生活变迁(中山装,旗袍,裙子,西餐馆,面包房,咖啡店);"
1864,太平天国,太平天国运动失败;
1866,清朝,德国西门子成功研制发电机;
1870,清朝,近代民用工业创办;淞沪铁路建成;轮船招商局打破外商垄断;内燃机发明;丹麦在上海架有线电报;
1871,清朝,法国建立巴黎公社=>建立无产阶级政权的伟大尝试;德国《德意志帝国宪法》颁布=>德意志帝国建立=>德国建立君主立宪政体;
1872,清朝,"中国《申报》创办=>中国近代历时最长,影响最大的中文报刊;"
1876,清朝,美国贝尔发明电话;
19c80s,清朝,外国在上海设立电话公司;
19c90s,清朝,"康有为撰写《新学伪经考》《孔子改制考》,梁启超发表《变法通议》;"
1894,清朝,"甲午中日战争(朝鲜半岛海面,黄海海战,辽东山东半岛,大连,旅顺);"
1895,清朝,"中日《马关条约》(威海,台湾(刘永福,姜绍祖,徐骧))=>中国社会半殖民地半封建程度大大加深;甲午战后清政府为扩大税源放宽对民间办厂限制=>民族工业初步发展=>商办企业数量,投资额增加;法国卢米埃尔兄弟发明电影机=>电影诞生;英国达尔文《物种起源》=>创立了生物进化论;"
1898,清朝,"维新变法(断发易服,废止缠足,改革婚姻)=>中国民族资产阶级登上历史舞台;"
20c,清朝,"跨入“信息时代”;初爱因斯坦相对论;20c早现代主义文学(萧伯纳《苹果车》,罗曼・罗兰《约翰・克里斯朵夫》,海明威《老人与海》,贝克特《等待戈多》);20c上半社会主义文学(高尔基《母亲》,奥斯特洛夫斯基《钢铁是怎样炼成的》);20c60s魔幻现实主义(马尔克斯《百年孤独》);电影格里菲斯《一个国家的诞生》;二战后现代主义美术(毕加索《格尔尼卡》);二战后现代音乐(摇滚,蓝调,爵士,摇滚《随着时钟摇吧》,民谣《时代在改变》);"
1900,清朝,"八国联军侵华战争(英美俄日法德意奥,廊坊,天津,北京) ;汽车出现在上海;上海无线电台;资本主义世界体系最终建立;普朗克提出量子假说=>量子论诞生(20世纪最深刻,最有成就的科学理论之一);"
1901,清朝,八国联军侵华战争=>《辛丑条约》=>中国半殖民地半封建社会形成;
1903,清朝,莱特兄弟的飞机上天;
1905,清朝,孙中山日本东京成立中国同盟会;孙中山提出三民主义;中国人自己摄制的电影《定军山》首映成功=>中国电影开始起步;
1909,清朝,冯如制成第一架飞机;
1911,清朝,武昌起义=>辛亥革命爆发=>追求民主共和;
1912,"中华民国(湖北军政府,北洋政府)","中华民国成立,清朝覆灭;《中华民国临时约法》颁布;京剧逐步走向世界;"
1914,中华民国(北洋政府),"[一战爆发=>列强放松经济侵略,政府支持,提倡国货群众运动]=>民族工业迅速发展的短暂春天=>面粉,纺织业发展迅速;"
1915,中华民国(北洋政府),陈独秀《敬告青年》in[上海创办《青年杂志》=>《新青年》]=>发起新文化运动=>提倡民主科学;
1917,中华民国(北洋政府),"苏俄二月革命,列宁《四月提纲》,苏俄十月革命=>社会主义由理论变为现实;"
1918,中华民国(北洋政府),"一战结束,民族工业迅速萧条;苏联迫于国内战争=>实行战时共产主义政策;胡适《文学改良刍议》,陈独秀《文学革命论》=>新文化运动文学革命;李大钊率先举起社会主义旗帜=>马克思主义开始传入中国;"
1919,中华民国(北洋政府),巴黎和会举行=>五四运动爆发(北京学生=>上海工人)=>新民主主义革命开始;李大钊发文比较全面地介绍了马克思主义;马克思主义社团出现;中国共产党早期组织出现;
1920,中华民国(北洋政府),中国首条空中航线天津航线开通;
1921,中华民国(北洋政府),"苏俄新经济政策;中共一大(名称,党纲,奋斗目标,中心工作,中央机构,书记);中国共产党诞生;北京出现人力车;毛泽东《中国社会各阶级的分析》《湖南农民运动考察报告》;"
1922,中华民国(北洋政府),苏联成立;
1924,中华民国(北洋政府),"国共两党合作=>国民党一大,旧三民主义发展为新三民主义=>国民革命开始;苏联开始斯大林模式=>逐渐形成高度集中的计划经济体制;"
1925,中华民国(北洋政府),国民政府在广州成立;苏联国民经济恢复工作基本完成;
1926,中华民国(北洋政府),北伐开始;
1927,中华民国(南京国民政府),"反革命政变;进入国共两党对峙时期;南京国民政府成立;南昌起义;八七会议=>毛泽东领导秋收起义=>井冈山革命根据地创建=>土地革命;国民经济建设运动;民族工业较快发展;美国出现有声电影;毛泽东形成了工农武装割据思想(表现为农村包围城市,武装夺取政权);星星之火可以燎原理论形成;"
1929,中华民国(南京国民政府),空前严重的经济危机（黑色星期四）=>美国历史上大萧条时期来临;
20c30s,中华民国(南京国民政府),量子力学建立起来;
1931,中华民国(南京国民政府),九一八事变(东北华北等地)=>抗日战争开始;有声电影《歌女红牡丹》公映;
1933,中华民国(南京国民政府),罗斯福就任美国总统=>实施“新政”;
1934,中华民国(南京国民政府),红军开始长征;
1935,中华民国(南京国民政府),遵义会议召开;吴起镇会师;华北事变=>中日矛盾上升的社会主要矛盾;彩色电影《浮华世家》;电影《渔光曲》在国际上获奖;
1936,中华民国(南京国民政府),甘肃红一会师=>长征结束;
1937,中华民国(南京国民政府),"七七事变=>日本发动全面侵华战争=>民族工业空前残酷的打击,官僚资本迅速膨胀;抗日民族统一战线建立=>全民族团结抗战;淞沪会战;太原会战(平型关大捷);毛泽东提出新民主主义革命概念《论持久战》《新民主主义论》《论临时政府》;"
1938,中华民国(南京国民政府),徐州会战(台儿庄战役);武汉会战(转入相持阶段);
1939,中华民国(南京国民政府),二战爆发;
1940,中华民国(南京国民政府),美国国民收入恢复;百团大战;
1944,中华民国(南京国民政府),布雷顿森林会议=>《布雷顿森林协定》;
1945,中华民国(南京国民政府),二战结束;抗日战争胜利;重庆谈判=>《双十协定》;美国成立国际货币基金组织和世界银行;西欧开始走上联合道路;资本主义殖民体系被打破;西方资本主义国家盛行国家垄断资本主义=>经济发展“黄金”时期;福利国家逐渐发展;民族工业陷入绝境;中共七大(毛泽东思想确立为党的指导思想);
1946,中华民国(南京国民政府),国民党军队大举进攻中原解放区=>解放战争(全面内战)爆发;美国出现世界上第一台电子计算机;
1947,中华民国(南京国民政府),刘邓大军挺进大别山=>解放战争转折点;杜鲁门主义=>冷战开始标志;马歇尔计划;内蒙古自治区成立;日内瓦《关贸总协定》;
1948,中华民国(南京国民政府),"辽沈战役(锦州,长春,沈阳,东北);"
1949,中华人民共和国,"平津战役(天津,北平,张家口);淮海战役(徐州,宿县);渡江战役=>国民政府覆灭=>新民主主义革命基本胜利;中共七届二中全会(党的工作重心,方针,基本政策,总任务);第一届人民政治协商会议=>[《共同纲领》通过,中共领导的多党合作和政治协商制度建立];新中国成立=>奉行独立自主的和平外交政策;北大西洋公约组织建立;经济互助委员会建立;毛泽东《论人民民主专政》;"
1950,中华人民共和国,朝鲜战争爆发;
1951,中华人民共和国,六国“欧洲煤钢共同体”;
1953,中华人民共和国,会见印度代表团=>周恩来提出和平共处五项原则;我国实行第一个五年计划开始=>开始三大改造;苏联赫鲁晓夫改革;
1954,中华人民共和国,"第一届全国人大=>1954《中华人民共和国宪法》=>[人民代表大会制度,民族区域自治制度];日内瓦会议(五大国);"
1955,中华人民共和国,万隆会议(求同存异);华沙条约组织成立=>美苏两极格局形成;
1956,中华人民共和国,"基本完成三大改造=>[社会主义经济体系,社会主义制度基本建立,社会主义建设在中国全面展开,仍存在私营经济];中共八大(正确分析国内主要矛盾和当前主要任务);毛泽东在中共中央政治局扩大会议提出双百方针=>[老舍话剧《茶馆》,郭沫若历史剧《蔡文姬》,杨沫长篇小说《青春之歌》];毛泽东发表《论十大关系》;"
1957,中华人民共和国,"六国成立欧洲经济共同体,欧洲原子能共同体;毛泽东发表《关于正确处理人民内部矛盾的问题》的讲话=>创造性地提出两类矛盾学说;"
1958,中华人民共和国,北京电视台;大跃进=>人民公社化运动;
20c60s,中华人民共和国,中国逐步形成比较完整的国民教育体系;
1961,中华人民共和国,"越南战争,不结盟运动形成;"
1962,中华人民共和国,古巴导弹危机;
1964,中华人民共和国,"中国第一颗原子弹爆炸成功,中国中近程导弹试验成功;"
1967,中华人民共和国,欧洲共同体成立;
1965,中华人民共和国,中国首次实现人工合成牛胰岛素;
1966,中华人民共和国,文化大革命开始;
1967,中华人民共和国,欧洲共同体成立;
19c70s,中华人民共和国,西方“滞胀”=>混合经济
1970,中华人民共和国,中国第一颗人造卫星“东方红一号”发射成功;
1971,中华人民共和国,第26届联大(中国恢复联合国合法地位);基辛格访华;
1972,中华人民共和国,尼克松访华=>中美关系逐渐走向正常化;《联合公报》;田中角荣访华=>中日建交;
1973,中华人民共和国,袁隆平选育出杂交水稻成功;
1977,中华人民共和国,中国高考制度恢复;
1978,中华人民共和国,"十一届三中全会(把党的工作重心转移到社会主义现代化建设上,法制建设方针)=>[改革开放,民主政治建设进入新时期,中国特色社会主义经济建设道路起点,重大转折];停止炮击金门;家庭联产承包责任制;科教兴国;"
1979,中华人民共和国,《告台湾同胞书》;中美正式建交;
20c80s,中华人民共和国,"邓小平提出“一国两制”构想;日本提出谋求政治大国的目标;缩小福利国家规模;邓小平“教育要面向现代化,面向世界,面向未来”;《义务教育法》;"
1980,中华人民共和国,"经济特区设立(深圳,珠海,汕头,厦门);"
1982,中华人民共和国,中共十二大(建设中国特色社会主义);修订1982宪法;
1983,中华人民共和国,"撤销人民公社,建立村民委员会;“银河I号”高性能计算机;"
1984,中华人民共和国,城市经济体制全面发展;开放沿海港口城市;《民族区域自治法》颁布;
1985,中华人民共和国,苏联戈尔巴乔夫上台改革;开辟沿海经济开发区;
1987,中华人民共和国,"中共十三大(对邓小平理论作了系统概括,提出了社会主义初级阶段理论,“一个中心两个基本点”基本路线);两岸允许探亲;"
1988,中华人民共和国,海南经济特区建立;
1989,中华人民共和国,12国澳大利亚首都成立亚太经济合作组织;
20c90s,中华人民共和国,211工程;希望工程;美国“新经济”出现;
1990,中华人民共和国,海峡交流基金会成立;开发开放上海浦东;两酝骋(民主德国并入联邦德国);
1991,中华人民共和国,"汉城会议《汉城宣言》;中国正式加入亚太经合组织;海峡两岸关系协会建立;苏联解体=>两极格局瓦解=>[有利于世界经济全球化,世界格局变为一超多强,多极化趋势出现];"
1992,中华人民共和国,"美国加拿大墨西哥《北美自由贸易协定》;欧共体成员国《欧洲联盟条约》;九二共识;中共十四大(将建立社会主义市场经济体制确立为改革目标i)=>社会主义改革开发和现代化建设进入新阶段;南方谈话(“什么是社会主义,怎样建设社会主义”根本问题,社会主义本质,判断工作是非标准“三个有利于”);"
1993,中华人民共和国,十四届三中全会(社会主义市场经济体制基本框架);欧洲联盟成立;
1994,中华人民共和国,北美自由贸易区成立(美国加拿大墨西哥);中国接入互联网;
1995,中华人民共和国,世界贸易组织成立=>规范化法制化的世界贸易体系开始建立;
1997,中华人民共和国,香港回归;铁路大提速;中共十五大(邓小平理论写入党章);
1999,中华人民共和国,;澳门回归;欧元问世;
20c,中华人民共和国,总体达到小康水平;江泽民“三个代表”;
2001,中华人民共和国,中国加入世界贸易组织;亚太经合组织第九次领导人非正式会议;上合组织成立=>上海共识;社会主义商品市场体系基本建立;
2002,中华人民共和国,中共十六大(“三个代表”写入党章);
2003,中华人民共和国,中国神州五号载人航天飞船成功返回地面;
2005,中华人民共和国,国民党主席访问大陆;
2006,中华人民共和国,青藏铁路通车;
2008,中华人民共和国,"两岸通邮,通航,通商;"
